epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,83.4706,0.00067,0.5,0.91667,1.73453,0.000219198,0.000219198,0.000219198
72,84.4964,0.00206,0.5,0.91667,1.73453,0.000212129,0.000212129,0.000212129
73,85.5669,0.00097,0.5,0.91667,1.72887,0.000205061,0.000205061,0.000205061
74,86.5698,0.00097,0.5,0.91667,1.72887,0.000197992,0.000197992,0.000197992
75,87.7167,0.00146,0.5,0.91667,1.72887,0.000190924,0.000190924,0.000190924
76,88.7799,0.00114,0.5,0.91667,1.73229,0.000183855,0.000183855,0.000183855
77,89.8697,0.00143,0.5,0.91667,1.73229,0.000176786,0.000176786,0.000176786
78,90.9218,0.00064,0.5,0.91667,1.73229,0.000169718,0.000169718,0.000169718
79,92.1672,0.00105,0.5,0.91667,1.74858,0.000162649,0.000162649,0.000162649
80,93.4853,0.00043,0.5,0.91667,1.74858,0.000155581,0.000155581,0.000155581
81,94.6558,0.00184,0.5,0.91667,1.74858,0.000148512,0.000148512,0.000148512
82,96.0034,0.00151,0.5,0.91667,1.71749,0.000141443,0.000141443,0.000141443
83,97.1581,0.00073,0.5,0.91667,1.71749,0.000134375,0.000134375,0.000134375
84,98.2467,0.00056,0.5,0.91667,1.71749,0.000127306,0.000127306,0.000127306
85,99.2746,0.00067,0.5,0.91667,1.71298,0.000120238,0.000120238,0.000120238
86,100.6,0.00045,0.5,0.91667,1.71298,0.000113169,0.000113169,0.000113169
87,101.809,0.00109,0.5,0.91667,1.71298,0.0001061,0.0001061,0.0001061
88,102.987,0.00154,0.5,0.91667,1.69026,9.90318e-05,9.90318e-05,9.90318e-05
89,104.017,0.0008,0.5,0.91667,1.69026,9.19632e-05,9.19632e-05,9.19632e-05
90,105.17,0.00085,0.5,0.91667,1.69026,8.48946e-05,8.48946e-05,8.48946e-05
91,106.353,0.00096,0.5,0.91667,1.70855,7.7826e-05,7.7826e-05,7.7826e-05
92,107.491,0.00057,0.5,0.91667,1.70855,7.07574e-05,7.07574e-05,7.07574e-05
93,108.973,0.00063,0.5,0.91667,1.70855,6.36888e-05,6.36888e-05,6.36888e-05
94,110.052,0.0014,0.5,0.91667,1.7079,5.66202e-05,5.66202e-05,5.66202e-05
95,111.203,0.00046,0.5,0.91667,1.7079,4.95516e-05,4.95516e-05,4.95516e-05
96,112.387,0.00072,0.5,0.91667,1.7079,4.2483e-05,4.2483e-05,4.2483e-05
97,113.433,0.00062,0.5,0.91667,1.73317,3.54144e-05,3.54144e-05,3.54144e-05
98,114.567,0.00078,0.5,0.91667,1.73317,2.83458e-05,2.83458e-05,2.83458e-05
99,115.594,0.00098,0.5,0.91667,1.73317,2.12772e-05,2.12772e-05,2.12772e-05
100,116.751,0.00094,0.5,0.91667,1.7478,1.42086e-05,1.42086e-05,1.42086e-05
